,Metabolite,Units,Groups,N,Mean,StdDev,CI_Low,CI_High,Effect
0,Cre,IU,Inft,5,3.5393800163924825,0.1550591393042274,3.4034646881938726,3.6752953445910923,Random
1,GABA,IU,Inft,5,1.520963093375538,0.15052540750853088,1.3890217563118046,1.6529044304392715,Random
2,GPC,IU,Inft,5,2.0011738415109424,0.09232445359768955,1.9202478898527986,2.0820997931690863,Random
3,Glu,IU,Inft,17,3.234844288437066,0.6221318858931607,2.93910156266881,3.530587014205321,Random
4,Glx,IU,Inft,17,4.5123290490707,0.7777682241028949,4.142601504432959,4.882056593708441,Random
5,Lac,IU,Inft,3,1.0946973727540859,0.6214222629453984,0.39149188360185977,1.7979028619063122,Random
6,Myo,IU,Inft,12,6.761489279291593,0.41012240757971913,6.529440682523081,6.9935378760601035,Fixed
7,NAA,IU,Inft,12,3.4325382972169867,0.7727066511780442,2.995338352015974,3.869738242418,Random
8,tCho,IU,Inft,9,1.732926316619422,0.5182919872697753,1.3943088849365022,2.071543748302342,Random
9,tCr,IU,Inft,7,3.3084130156600944,0.5886828629072921,2.8723106478853917,3.7445153834347975,Fixed
10,tNAA,IU,Inft,10,3.6660127021711375,0.8462096014527238,3.141526557346326,4.190498846995949,Random
11,Cre,IU,Adol,3,4.635993283822792,3.0839163675704766,1.1462133916715807,8.125773175974002,Random
12,GABA,IU,Adol,5,2.4940622824021292,0.41816322409575774,2.127526055652841,2.8605985091514174,Fixed
13,GPC,IU,Adol,16,1.6808891943991253,0.14765345616443862,1.6085390008785505,1.7532393879197004,Random
14,GSH,IU,Adol,2,2.365846097201767,0.47187866759189157,1.7118556299288283,3.0198365644747054,Random
15,Glu,IU,Adol,33,7.265096300339078,2.0022642721306454,6.581939336990243,7.948253263687913,Random
16,Glx,IU,Adol,18,12.386663190543453,5.082269745776513,10.038774355185689,14.734552025901218,Random
17,Myo,IU,Adol,29,6.671559382465674,2.3807436849334156,5.805057095239954,7.538061669691392,Random
18,NAA,IU,Adol,26,7.842251152236447,1.8647095886946035,7.125479862364245,8.559022442108647,Random
19,Tau,IU,Adol,2,5.057888598130843,1.8120422414259478,2.546526178981676,7.56925101728001,Random
20,tCho,IU,Adol,20,2.1758753529174646,0.7553461964836427,1.8448302863083306,2.506920419526599,Random
21,tCr,IU,Adol,32,7.321281558985733,2.4172325812957784,6.483753199515473,8.158809918455994,Random
22,tNAA,IU,Adol,17,12.945558671346033,5.347389655056765,10.403570986434087,15.48754635625798,Random
23,Asc,IU,Norm,18,0.8341926623237896,0.23100039297782685,0.7274759253606222,0.940909399286957,Random
24,Asp,IU,Norm,30,2.3158149474769414,1.0544123041669664,1.9384983502601538,2.6931315446937285,Random
25,Cre,IU,Norm,95,5.953673245698195,2.2992700014946594,5.491309001260261,6.41603749013613,Random
26,GABA,IU,Norm,209,2.124472433406633,0.6648366334607035,2.0343365187739653,2.2146083480393015,Random
27,GPC,IU,Norm,84,1.7105852695243824,0.7530527228084742,1.5495422846448024,1.8716282544039626,Random
28,GSH,IU,Norm,86,1.4329957687673722,0.636596869455287,1.2984495973092303,1.5675419402255144,Random
29,Gln,IU,Norm,86,2.2044726324698485,0.9645680966911178,2.0006090089627078,2.4083362559769887,Random
30,Glu,IU,Norm,187,8.797458835460928,2.4004537925733853,8.453403245336467,9.141514425585386,Random
31,Glx,IU,Norm,162,11.513324053355007,4.188477285325665,10.86833145836087,12.15831664834914,Random
32,Gly,IU,Norm,9,1.2571722156843272,0.8428120254816392,0.7065350257029896,1.8078094056656648,Random
33,Lac,IU,Norm,21,0.6467193386229122,0.39838648180054426,0.47632662581108565,0.8171120514347386,Random
34,Myo,IU,Norm,215,5.83050459363035,1.8730706888803692,5.580129566610434,6.080879620650267,Random
35,NAA,IU,Norm,234,10.728965390941378,2.3425598678179367,10.428815049705282,11.029115732177473,Random
36,NAAG,IU,Norm,29,1.676618406235764,0.6977851978709534,1.422650507980332,1.930586304491196,Random
37,Scy,IU,Norm,21,0.17977115319879647,0.10381634518939901,0.13536816891308182,0.22417413748451112,Random
38,Tau,IU,Norm,41,1.255420140078288,0.7673993165224643,1.0205187693394535,1.4903215108171224,Random
39,tCho,IU,Norm,153,2.583762502990302,0.8615418553481752,2.447245502634172,2.720279503346432,Random
40,tCr,IU,Norm,202,10.170377581717707,2.375790937952182,9.842743850253523,10.498011313181891,Random
41,tNAA,IU,Norm,74,11.269234770604484,3.82636665242176,10.397414837512725,12.141054703696243,Random
42,Asc,IU,Aged,7,1.499457345553406,0.26606183475470796,1.3023559800779807,1.6965587110288314,Random
43,Asp,IU,Aged,6,1.846855056660959,0.20613261849356507,1.6819146100076372,2.0117955033142807,Random
44,Cre,IU,Aged,13,6.700124926977404,1.5526000009092318,5.856121952317035,7.544127901637773,Random
45,GABA,IU,Aged,13,1.4047492982906922,0.49609071169151714,1.13507131547231,1.6744272811090744,Random
46,GPC,IU,Aged,18,2.0120642499572843,0.6480931311817065,1.7126604986632659,2.3114680012513023,Random
47,GSH,IU,Aged,15,1.3066785088612671,0.441466140316192,1.083265816971681,1.5300912007508534,Random
48,Gln,IU,Aged,11,2.7130029147725296,0.47615522606842936,2.4316131579908724,2.9943926715541873,Random
49,Glu,IU,Aged,23,8.02624193226966,1.934972454188404,7.235441423166376,8.817042441372942,Random
50,Glx,IU,Aged,17,7.084798131635207,2.8742858937340765,5.7184493491261845,8.451146914144228,Random
51,Lac,IU,Aged,4,1.3217887935086785,0.5872934942257293,0.7462411691674637,1.897336417849893,Random
52,Myo,IU,Aged,30,5.7571125979235225,1.8017729010676704,5.1123564457982145,6.40186875004883,Random
53,NAA,IU,Aged,42,10.47038983695973,2.876630282849989,9.60039740603727,11.340382267882191,Random
54,NAAG,IU,Aged,7,1.3028687538894357,0.3890671473728193,1.0146437776183725,1.5910937301604988,Random
55,Scy,IU,Aged,8,0.6302456612316322,0.29042176928013597,0.42899364281869673,0.8314976796445677,Random
56,Tau,IU,Aged,9,1.6073553101258164,0.3967619149461604,1.348137525694325,1.866573094557308,Random
57,tCho,IU,Aged,24,1.754929005718777,0.5162044926912606,1.5484041960812236,1.9614538153563303,Random
58,tCr,IU,Aged,32,7.445072401413341,1.9008544132678753,6.786459949034997,8.103684853791686,Random
59,tNAA,IU,Aged,13,7.458820063275155,2.4013115674523786,6.153452225564683,8.764187900985627,Random
60,GABA,Cr,Inft,5,0.4275339476603514,0.02411141678254806,0.40639935901218555,0.4486685363085172,Random
61,GPC,Cr,Inft,5,0.32653995276568865,0.11311879040685754,0.22738696125183308,0.4256929442795442,Random
62,GSH,Cr,Inft,3,0.2710811704413953,0.056120221424804204,0.20757516154607475,0.33458717933671583,Fixed
63,Glu,Cr,Inft,9,1.044435732416643,0.24355381481053467,0.8853139067404269,1.2035575580928588,Random
64,Glx,Cr,Inft,6,1.8734488671274052,0.3599397281190911,1.585437100925098,2.1614606333297126,Fixed
65,Lac,Cr,Inft,2,0.065,0.007071067811865578,0.05519999999999986,0.07480000000000014,Random
66,Myo,Cr,Inft,6,1.9676349009656475,0.17979166328715596,1.823771608179441,2.1114981937518538,Random
67,NAA,Cr,Inft,15,0.8271071607281524,0.41510445502695664,0.6170353222707137,1.037178999185591,Random
68,tCho,Cr,Inft,7,0.4245119113597752,0.02015744559327413,0.4095790666900621,0.4394447560294883,Random
69,tNAA,Cr,Inft,11,1.0520023224461699,0.04160965763006028,1.0274125861600285,1.0765920587323112,Random
70,GABA,Cr,Adol,2,0.15650943396226416,0.061812253776910055,0.07084202090235346,0.24217684702217485,Fixed
71,GPC,Cr,Adol,8,0.5725502426356849,0.2158832448452018,0.4229507863885789,0.7221496988827909,Random
72,GSH,Cr,Adol,2,0.11800000000000001,0.008854377448471461,0.10572845893948117,0.13027154106051886,Fixed
73,Glu,Cr,Adol,6,1.5434059491597574,0.19314859457936184,1.3888548854164138,1.697957012903101,Random
74,Glx,Cr,Adol,16,1.5387888220837125,0.6569704702267861,1.2168732916725873,1.8607043524948377,Random
75,Lac,Cr,Adol,14,0.21448800058153342,0.10244706527953483,0.16082294598362568,0.2681530551794411,Fixed
76,Myo,Cr,Adol,26,0.7752461552024345,0.135421148508369,0.7231919415700211,0.8273003688348478,Random
77,NAA,Cr,Adol,38,1.9531751787902267,0.5899594192883684,1.7655952301936073,2.1407551273868464,Random
78,Tau,Cr,Adol,2,0.24343280098280107,0.02657118362156671,0.2066070193017941,0.28025858266380804,Random
79,tCho,Cr,Adol,48,0.8496993502233229,0.3260003022655015,0.7574733327115685,0.9419253677350774,Random
80,tNAA,Cr,Adol,22,1.5109176215265585,0.3402743955635165,1.368726001538995,1.6531092415141222,Random
81,Asc,Cr,Norm,4,0.4949905771229079,0.0660467201801704,0.43026479134634094,0.5597163628994749,Fixed
82,Asp,Cr,Norm,5,0.353122285436589,0.13281967567308378,0.23670070660322878,0.4695438642699493,Random
83,GABA,Cr,Norm,54,0.1450215910125318,0.0738992861760541,0.12531100961058753,0.16473217241447605,Random
84,GPC,Cr,Norm,49,0.31786367812125976,0.1021848781793921,0.28925191223103,0.34647544401148955,Random
85,GSH,Cr,Norm,30,0.2811261943918397,0.14897736875637002,0.22781532764709533,0.33443706113658417,Random
86,Gln,Cr,Norm,15,0.2782825048026519,0.052876138050172945,0.25152348693085425,0.30504152267444956,Random
87,Glu,Cr,Norm,87,1.0655561700811118,0.22414699476406616,1.0184552527454875,1.112657087416736,Random
88,Glx,Cr,Norm,116,1.3289316817731343,0.5518586579225968,1.228503653266441,1.4293597102798274,Random
89,Gly,Cr,Norm,2,0.2061538461538462,0.04706787243316418,0.14092110307775924,0.27138658922993314,Fixed
90,Myo,Cr,Norm,177,0.5996821943499759,0.2442070031332469,0.5637049784625224,0.6356594102374296,Random
91,NAA,Cr,Norm,117,1.386243475784638,0.2055738423250412,1.348993071230323,1.4234938803389532,Random
92,NAAG,Cr,Norm,5,0.5036268211245355,0.4128989003045198,0.14170497762953613,0.865548664619535,Random
93,tCho,Cr,Norm,172,0.5472149964611829,0.2310210426103747,0.5126892253206496,0.5817407676017162,Random
94,tNAA,Cr,Norm,124,1.5479977405452205,0.3029418398893364,1.4946759791083468,1.6013195019820943,Random
95,Asp,Cr,Aged,3,0.35456821231549207,0.007085494093223334,0.34655022094824667,0.36258620368273753,Random
96,GABA,Cr,Aged,6,0.25024065023914693,0.1175910581070238,0.1561482072849296,0.34433309319336425,Random
97,GPC,Cr,Aged,14,0.29686000763373854,0.1120218874978982,0.2381793544365767,0.35554066083090036,Random
98,GSH,Cr,Aged,9,0.20848713027468355,0.08939451241210288,0.15008271549877633,0.26689154505059076,Random
99,Gln,Cr,Aged,7,0.2907230614520055,0.02986108629540532,0.26860165915155865,0.3128444637524523,Random
100,Glu,Cr,Aged,14,1.239561706636687,0.19761913186983518,1.1360424748026798,1.343080938470694,Random
101,Glx,Cr,Aged,8,1.5239986565194312,1.3646744001875515,0.5783275444848154,2.4696697685540467,Random
102,Myo,Cr,Aged,27,0.7169366605934473,0.16026790377745836,0.6564832585663771,0.7773900626205174,Random
103,NAA,Cr,Aged,34,1.5063876722773784,0.22614265672244918,1.4303727067675729,1.5824026377871838,Random
104,tCho,Cr,Aged,22,0.6411142143058681,0.19527508900880625,0.5595139481342253,0.722714480477511,Random
105,tNAA,Cr,Aged,14,1.7727771632830172,0.3031580908747007,1.613973243871592,1.9315810826944426,Random
